TCP_ID,IMAGESET_IDK000039.000,1105700300
K000122.000,0250900300
K000152.000,0110402500
K000180.000,0110602200
K000266.000,0160003600
K000268.000,0099900600
K000379.000,0099900700
K000415.000,0100901100
K000454.000,0109600600
K000532.000,0099204400
K000637.000,0147503600
K000663.000,0101502500
K000685.000,0099700400
K000691.000,1241800700
K000780.000,0465101200
K000791.000,0101403800
K000913.000,0100601400
K000924.000,0250501500
K000934.000,1058401600
K000944.000,0250401100
K000958.000,1240700300
K001048.000,0159701700
K001133.000,0098301900
K001176.000,0160800300
K001204.000,0099006000
K001310.000,0158200300
K001312.000,0160702800
K001334.001,0100501601
K001334.002,0100501602
K001382.000,0101001800
K001415.000,0099700500
K001439.000,0158200400
K001461.000,0159701800
K001482.000,0100000700
K001511.000,0100101200
K001582.000,0098500500
K001672.000,0127701600
K001770.000,0098102700
K001985.000,0425200400
K002004.000,0404700400
K002009.000,0100200200
K002071.000,0464101900
K002428.000,0100302500
K002464.000,0128700300
K002508.000,0150102900
K002563.000,0251102300
K002590.000,1120400600
K002616.000,0402604100
K002662.000,0099500300
K002765.000,0100000800
K002806.000,0099700300
K002808.000,1114600600
K002867.000,1114500700
K002914.000,0147202800
K002919.000,0098102600
K002991.000,0100902100
K003059.000,1270201300
K003286.000,0100300600
K003544.000,0099901600
K003605.000,0100703300
K003638.000,0160600700
K003643.001,1128700101
K003643.002,1128700102
K003643.003,1128700103
K003810.001,0149005101
K003810.002,0149005102
K003810.003,0149005103
K003860.000,0109502400
K004143.000,1078700300
K004179.000,1241803000
K004294.000,0216701000
K004299.000,1234500700
K004329.000,0127702300
K004390.000,1213502600
K004461.000,0126202100
K004597.000,0160701500
K004609.000,0110402300
K004738.000,0147504900
K004915.000,1124001600
K004944.000,1133400200
K005224.000,0251102100
K005472.000,0108801200
K005565.000,0334001200
K005732.000,0110101800
K005787.000,0110200400
K005846.000,0149501300
K005971.000,0147501900
K006014.000,0149202200
K006151.000,1144200600
K006240.000,0110701400
K006305.000,0127102000
K006382.001,0127200301
K006382.002,0127200302
K006500.000,0147200500
K006521.000,1090600300
K006534.000,1081300500
K006560.000,0109601000
K006726.000,0128900900
K006904.000,0147503300
K007016.000,0250502800
K007021.000,0110501100
K007022.000,0110501200
K007102.000,0110502800
K007192.000,0149900200
K007216.000,1240700400
K007219.000,0111500200
K007507.000,0129002400
K007545.000,0111401800
K007597.000,0128702700
K007618.000,0926502600
K007722.000,0127703400
K007863.000,0149202500
K007929.000,0147605200
K007960.000,0149800300
K007970.000,0129101600
K007986.001,0148502701
K007986.002,0148502702
K008041.000,1234602500
K008077.000,0149503400
K008158.001,1144100201
K008158.002,1144100202
K008178.000,0129101500
K008190.000,0149902600
K008295.001,1098200101
K008295.002,1098200102
K008295.003,1098200103
K008295.004,1098200104
K008295.005,1098200105
K008295.006,1098200106
K008390.000,0149500100
K008430.000,0306800500
K008503.000,0149901500
K008591.000,0149003200
K008736.000,0149200100
K008777.000,0464001800
K008784.000,0149500200
K008839.000,0464004000
K008857.001,0147101501
K008857.002,0147101502
K008947.000,0160802100
K009299.000,0147400900
K009363.000,0148001400
K009421.000,0149803000
K009548.000,0882001300
K009614.000,0554300100
K009637.000,0149503300
K009642.000,0405201400
K009650.000,0129102100
K009653.000,0147305100
K009674.000,0249600800
K009746.000,1234700600
K009952.000,0159101400
K009959.000,1090300500
K010695.000,0351700800
K010754.000,0160602500
K010810.000,1079500700
K010899.000,1260900100
K010938.000,0159101100
K011281.000,1240702200
K011382.000,1196701000
K011519.000,1163800600
K011545.000,0160702700
K011654.000,0250805000
K011684.000,0250104400
K011730.000,0249704300
K011869.000,1105901400
K012309.000,1108400300
K012406.000,0425201300
K012429.000,0465200600
K012500.000,0425300200
K012677.000,0251101800
K012749.000,1141100300
K013036.000,0302201700
K013038.000,0465001500
K013141.000,0404502700
K013348.000,0402602600
K013509.000,0214001400
K013690.000,0464403700
K013728.000,1213100900
K013794.000,0306201000
K013808.000,1213002400
K013825.000,0302201400
K013872.000,0302201300
K013990.000,1228500700
K014182.000,0301401000
K014189.000,1119501000
K014201.000,1133700500
K014256.000,0305101000
K014363.000,0925800200
K014395.000,0553103500
K014420.000,0304800700
K014737.000,0403400700
K014868.000,0406003100
K014927.000,0301701200
K014946.000,0352400800
K014954.000,1248401400
K014996.000,1128500200
K015012.000,1213302100
K015145.000,1233500300
K015178.000,0406001100
K015461.000,0922800700
K015523.000,0305901800
K015532.000,0405900100
K015533.000,1240502000
K015536.000,0406003300
K015686.000,0881100500
K015773.000,0924601500
K015852.000,1161700200
K016037.000,1209200300
K016090.000,1217700900
K016151.000,1269802300
K016332.001,0465000101
K016332.002,0465000102
K016442.000,1231302400
K016468.000,0351300400
K016527.001,1185400101
K016527.002,1185400102
K016527.003,1185400103
K016527.004,1185400104
K016527.005,1185400105
K016527.006,1185400106
K016527.007,1185400107
K016912.000,0554500200
K017098.000,1290601200
K017108.000,0555701700
K017256.000,0464800400
K017485.000,0555400400
K017897.000,0553302900
K018102.000,1217900600
K018256.000,1293200400
K018267.001,1261701201
K018401.000,1241002300
K019154.000,1221201100
K019240.000,1214100600
K019244.000,1293500800
K019588.000,0229700700
K019650.000,0488800800
K019651.000,0699201500
K019745.001,1222500101
K019745.002,1222500102
K019770.001,0906500201
K019851.001,0699600701
K019862.000,0118602900
K019867.000,1182600300
K019941.000,0310900400
K019945.000,1205901000
K019951.000,0341602600
K019952.000,1205901300
K019955.000,1174701700
K019966.000,0586200600
K020059.000,0146501600
K020101.000,0561702500
K020253.000,1073800300
