TCP_ID,ESTC_ID
K022115.002,T4002
K022115.003,T4002
K022117.000,T4004
K022118.000,T4005
K022120.000,T4007
K022123.000,T4010
K022124.000,T4011
K022135.000,T4022
K022188.000,T4090
K022229.000,T4173
K022258.000,T4210
K022270.000,T4224
K022415.000,T4525
K022474.000,T4600
K022555.000,T4686
K022565.000,T4710
K022578.000,T4723
K022848.000,T5299
K022849.000,T5300
K022860.000,T5337
K022898.000,T5380
K022939.001,T5432
K022968.001,T5465
K022977.000,T5481
K022979.000,T5485
K022990.001,T5497
K022990.002,T5497
K022995.002,T5502
K023000.000,T5507
K023001.002,T5508
K023003.003,T5510
K023004.004,T5511
K023005.005,T5512
K023011.000,T5518
K023013.000,T5520
K023014.000,T5522
K023016.000,T5524
K023017.000,T5525
K023019.000,T5527
K023021.000,T5529
K023024.000,T5536
K023025.000,T5537
K023036.000,T5552
K023048.000,T5566
K023049.000,T5567
K023052.000,T5572
K023079.000,T5607
K023128.000,T5661
K023129.000,T5663
K023131.000,T5666
K023137.000,T5674
K023138.000,T5675
K023139.000,T5677
K023140.000,T5678
K023143.000,T5682
K023147.000,T5686
K023148.000,T5688
K023149.000,T5693
K023150.000,T5694
K023156.000,T5700
K023160.000,T5707
K023163.000,T5710
K023165.000,T5712
K023171.000,T5720
K023175.000,T5725
K023176.000,T5726
K023186.000,T5738
K023189.000,T5742
K023191.000,T5745
K023192.000,T5748
K023195.000,T5754
K023197.000,T5756
K023198.000,T5757
K023201.000,T5762
K023202.000,T5763
K023226.000,T5788
K023227.000,T5789
K023234.000,T5799
K023236.000,T5801
K023237.000,T5802
K023238.000,T5803
K023249.000,T5825
K023259.000,T5837
K023262.000,T5844
K023264.000,T5848
K023267.000,T5851
K023272.000,T5856
K023274.000,T5859
K023275.000,T5860
K023278.000,T5866
K023287.000,T5881
K023293.000,T5890
K023299.000,T5899
K023394.000,T6174
K023421.000,T6253
K023456.001,T6290
K023456.002,T6290
K023486.000,T6332
K023578.000,T6428
K023579.000,T6430
K023584.000,T6435
K023749.000,T6727
K023755.000,T6734
K023942.000,T7614
K023997.000,T8242
K024112.000,T8397
K024142.000,T8434
K024153.000,T8449
K024207.000,T8577
K024307.000,T9005
K024330.000,T9039
K024381.000,T9105
K024432.000,T9192
K024489.000,T9290
K024661.000,T9585
K024662.000,T9586
K024720.000,T9689
K024732.000,T9714
K024736.000,T9718
K024779.000,T9992
K024818.001,T10038
K024818.002,T10038
K024870.000,T10157
K024906.000,T10219
K025272.000,T10730
K025325.000,T10796
K025327.000,T10798
K025519.000,T11231
K025532.001,T11253
K025532.002,T11253
K025607.000,T11385
K025649.000,T11438
K025723.000,T11613
K025748.000,T11644
K026235.000,T12445
K026247.000,T12462
K026311.000,T12618
K026709.000,T13245
K026892.000,T13691
K027127.000,T14004
K027143.000,T14025
K027268.000,T14186
K027367.000,T14323
K027505.000,T14538
K027591.000,T14670
K027621.001,T14704
K027621.002,T14704
K027631.000,T14714
K027657.000,T14743
K027659.000,T14745
K027660.001,T14747
K027660.002,T14747
K027670.001,T14758
K027670.002,T14758
K027670.003,T14758
K027697.001,T14790
K027697.002,T14790
K027714.000,T14810
K027775.000,T14895
K027776.000,T14896
K027796.001,T14927
K027844.000,T14992
K028072.000,T16485
K028419.000,T17110
K028494.000,T17200
K028664.000,T17549
K028766.000,T17775
K029293.000,T18518
K029296.000,T18521
K029305.000,T18530
K029412.000,T18650
K029542.000,T18894
K029554.000,T18913
K029564.000,T18934
K029625.000,T19043
K029653.000,T19078
K029698.000,T19820
K029715.000,T19844
K029722.000,T19858
K029768.000,T19924
K029769.000,T19925
K029857.000,T20118
K029946.000,T20324
K029984.000,T20385
K029992.000,T20406
