TCP_ID,ESTC_ID
K070844.002,T87008
K071066.001,T87422
K071066.002,T87422
K071418.000,T87884
K071693.000,T88236
K071701.000,T88244
K071702.000,T88245
K071903.000,T88489
K072003.000,T88607
K072107.001,T88734
K072107.002,T88734
K072107.003,T88734
K072424.000,T89182
K072426.000,T89184
K072460.001,T89228
K072460.002,T89228
K072460.003,T89228
K072460.004,T89228
K072686.000,T89526
K072976.000,T89867
K073090.000,T90012
K073091.000,T90013
K073164.000,T90094
K073171.000,T90106
K073280.000,T90234
K073281.000,T90235
K073282.000,T90236
K073392.000,T90413
K073454.000,T90495
K073475.000,T90534
K073488.000,T90551
K073507.000,T90574
K073560.000,T90654
K073750.000,T90893
K073751.000,T90894
K073795.001,T90948
K073795.002,T90948
K074107.001,T91336
K074107.002,T91336
K074116.000,T91345
K074174.000,T91434
K074274.000,T91569
K074278.001,T91573
K074278.002,T91573
K074568.000,T92160
K074629.000,T92236
K074630.000,T92237
K074632.000,T92239
K074674.000,T92308
K074843.000,T92533
K075014.000,T92782
K075282.000,T93222
K075318.000,T93261
K075478.000,T93463
K075481.000,T93466
K075501.001,T93486
K075606.001,T93622
K075606.002,T93622
K075606.003,T93622
K075625.000,T93645
K075827.000,T93900
K075884.000,T93972
K075940.000,T94038
K075995.000,T94101
K076130.000,T94267
K076314.000,T94539
K076603.000,T95112
K076702.001,T95226
K076723.000,T95251
K077073.000,T95674
K077183.000,T95824
K077446.000,T96176
K077599.002,T96368
K077612.000,T96382
K077663.000,T96443
K077667.000,T96447
K077786.000,T96588
K077848.001,T96668
K077848.002,T96668
K077850.000,T96670
K077856.000,T96678
K077957.000,T96816
K078024.001,T96891
K078024.002,T96891
K078024.003,T96891
K078024.004,T96891
K078024.005,T96891
K078024.006,T96891
K078024.007,T96891
K078024.008,T96891
K078024.009,T96891
K078024.010,T96891
K078029.000,T96896
K078097.001,T96995
K078097.002,T96995
K078097.003,T96995
K078489.001,T97491
K078489.002,T97491
K078562.000,T97589
K078874.000,T98023
K079450.000,T98752
K079495.000,T98814
K079570.000,T98906
K079595.001,T98935
K079595.002,T98935
K079595.003,T98935
K079637.001,T98991
K079637.002,T98991
K079640.000,T98996
K079641.001,T98998
K079641.002,T98998
K079645.000,T99002
K079648.000,T99006
K079654.000,T99014
K080049.000,T99501
K080051.000,T99504
K080053.001,T99506
K080053.002,T99506
K080105.000,T99564
K080111.000,T99570
K080316.000,T99798
K080421.001,T99923
K080421.002,T99923
K080453.000,T99966
K080455.000,T99968
K080492.000,T100015
K080517.000,T100048
K080528.000,T100060
K080662.001,T100223
K080662.002,T100223
K080662.003,T100223
K080662.004,T100223
K080662.005,T100223
K080847.000,T100458
K080858.000,T100471
K080865.000,T100478
K081022.000,T100668
K081121.000,T100785
K081252.000,T100959
K081295.000,T101011
K081319.000,T101049
K081759.000,T101624
K081989.001,T101901
K081989.002,T101901
K082105.000,T102037
K082106.000,T102038
K082269.001,T102228
K082269.002,T102228
K082269.003,T102228
K082269.004,T102228
K082269.005,T102228
K082366.000,T102347
K082699.000,T102841
K082740.000,T102891
K082984.000,T103179
K083612.000,T103927
K083848.000,T104237
K084084.000,T104512
K084724.000,T105408
K084859.000,T105612
K084861.001,T105614
K084861.002,T105614
K084956.000,T105741
K085532.000,T106497
K085711.000,T106756
K085765.000,T106816
K085823.000,T106886
K085913.000,T107003
K085919.000,T107011
K085950.000,T107045
K085957.000,T107054
K085958.001,T107055
K085958.002,T107055
K085958.003,T107055
K085977.000,T107078
K085978.000,T107079
K086024.000,T107132
K086061.000,T107178
K086062.000,T107179
K086169.000,T107337
K086231.000,T107409
K086263.000,T107448
K086276.000,T107461
K086495.000,T107739
K086593.000,T107850
K086686.000,T107966
K086734.000,T108042
K086741.000,T108054
K086750.000,T108063
K087079.000,T108506
K087416.000,T108889
K087514.000,T108995
K087560.000,T109049
K087688.000,T109208
K087716.000,T109238
K087969.000,T109550
K088018.000,T109605
K088170.000,T109852
K088215.000,T109901
K088587.000,T110358
K088713.000,T110499
K088722.000,T110518
K088831.000,T110655
K088839.000,T110665
K089167.000,T111046
K089227.000,T111145
K089235.000,T111156
K089369.003,T111391
K089369.004,T111391
K089370.001,T111393
K089396.000,T111486
K089537.000,T111674
K089849.001,T112211
K089849.002,T112211
K089860.000,T112223
K089925.000,T112299
K090103.000,T112505
K090722.000,T113281
K090734.000,T113295
K090843.000,T113417
K090920.000,T113529
K090929.000,T113541
K091116.001,T113816
K091116.002,T113816
K091116.003,T113816
K091144.000,T113850
K091154.001,T113864
K091154.002,T113864
K091165.000,T113878
K091186.001,T113901
K091366.000,T114144
K091409.000,T114194
K091416.000,T114203
K091485.000,T114283
K091660.000,T114509
K091678.001,T114528
K091818.000,T114702
K091832.000,T114720
K091879.000,T114792
K092066.000,T115019
K092165.001,T115132
K092165.002,T115132
K092215.000,T115185
K092252.001,T115224
K092252.002,T115224
K092252.003,T115224
K092252.004,T115224
K092301.000,T115293
K092353.001,T115348
K092353.002,T115348
K092629.000,T115721
K092747.000,T115852
K092784.001,T115891
K092784.002,T115891
K092784.003,T115891
K092785.004,T115892
K092786.005,T115893
K092786.006,T115893
K092821.000,T115937
K092930.000,T116074
K092950.000,T116097
K093052.000,T116214
K093079.001,T116245
K093079.002,T116245
K093079.003,T116245
K093079.004,T116245
K093080.001,T116246
K093080.002,T116246
K093080.003,T116246
K093080.004,T116246
K093080.005,T116246
K093080.006,T116246
K093174.001,T116357
K093174.002,T116357
K093174.003,T116357
K093174.004,T116357
K093174.005,T116357
K093174.006,T116357
K093280.000,T116476
K093442.000,T116663
K093508.000,T116748
K093533.000,T116781
K093603.000,T116874
K093655.001,T116936
K093655.002,T116936
K093660.001,T116942
K093660.002,T116942
K093660.003,T116942
K093660.004,T116942
K093660.005,T116942
K093663.000,T116945
K093930.000,T117249
K093988.001,T117316
K093988.002,T117316
K094029.000,T117360
K094098.000,T117437
K094198.000,T117553
K094200.000,T117557
K094305.001,T117671
K094305.002,T117671
K094528.000,T117937
K094645.000,T118085
K094698.000,T118164
K094754.000,T118227
K094902.001,T118393
K094902.002,T118393
K094982.000,T118485
K095003.000,T118509
K095032.000,T118564
K095488.000,T119135
K095553.000,T119241
K095737.000,T119488
K095991.000,T119854
K096120.001,T120079
K096120.002,T120079
K096120.003,T120079
K096120.004,T120079
K096120.005,T120079
K096120.006,T120079
K096120.007,T120079
K096120.008,T120079
K096120.009,T120079
K096120.010,T120079
K096120.011,T120079
K096120.012,T120079
K096120.013,T120079
K096120.014,T120079
K096120.015,T120079
K096120.016,T120079
K096120.017,T120079
K096120.018,T120079
K096120.019,T120079
K096120.020,T120079
K096479.000,T120574
K096840.000,T121065
K096960.000,T121207
K097055.000,T121325
K097310.001,T121678
K097310.002,T121678
K097310.003,T121678
K097310.004,T121678
K097310.008,T121678
K097310.009,T121678
K097486.000,T121873
K097489.000,T121876
K097557.000,T121952
K097708.000,T122154
K097986.000,T122526
K097994.000,T122535
K098362.000,T123117
K098413.000,T123187
K098680.000,T123564
K098900.001,T123917
K098900.002,T123917
K098900.003,T123917
K098900.004,T123917
K098900.005,T123917
K098942.000,T123974
K099013.002,T124076
K099198.000,T124311
K099251.000,T124405
K099270.001,T124428
K099270.002,T124428
K099277.001,T124435
K099277.002,T124435
K099329.000,T124524
K099385.000,T124613
K099398.000,T124631
K099473.000,T124715
K099474.000,T124716
K099481.000,T124723
K099545.000,T124808
K099598.000,T124869
K099659.001,T124933
K099659.002,T124933
K099681.000,T124958
K099722.000,T125001
K099729.000,T125008
K099834.000,T125135
K100170.000,T125553
K100292.000,T125708
K100402.000,T125844
K100410.000,T125859
K100537.000,T126016
K100539.000,T126018
K100550.000,T126029
K100666.000,T126164
K100784.000,T126376
K100796.000,T126392
K100817.000,T126418
K100834.000,T126441
K101007.000,T126671
K101052.000,T126752
K101059.000,T126759
K101190.000,T126973
K101477.000,T127415
K101579.002,T127555
K101585.000,T127561
K101613.000,T127593
K101642.000,T127633
K101652.000,T127644
K101669.001,T127663
K101669.002,T127663
K101776.000,T127827
K101844.000,T127919
K101911.000,T128012
K102171.000,T128379
K102172.000,T128380
K102279.000,T128520
K102286.000,T128528
K102297.000,T128542
K102448.001,T128775
K102448.002,T128775
K102523.001,T128905
K102523.002,T128905
K102562.000,T128955
K102875.000,T129359
K102914.000,T129409
K102974.000,T129479
K103123.001,T129718
K103123.002,T129718
K103238.000,T129879
K103240.000,T129881
K103261.000,T130067
K103528.001,T130421
K103528.002,T130421
K103528.003,T130421
K103528.004,T130421
K103915.001,T130916
K103915.002,T130916
K104099.001,T131163
K104099.002,T131163
K104099.003,T131163
K104099.004,T131163
K104099.005,T131163
K104099.006,T131163
K104108.000,T131173
K104119.000,T131186
K104420.000,T131590
K104598.000,T131818
K104624.000,T131855
K104887.000,T132188
K105084.000,T132461
K105119.000,T132536
K105233.001,T132693
K105233.002,T132693
K105233.003,T132693
K105365.000,T132889
K105471.000,T133048
K105560.000,T133175
K105564.000,T133179
K105745.000,T133411
K105746.000,T133412
K105759.000,T133426
K105792.000,T133469
K105913.000,T133666
K105973.001,T133752
K105973.002,T133752
K106011.000,T133796
K106025.000,T133814
K106115.000,T133946
K106443.000,T134345
K106472.002,T134381
K106504.000,T134448
K106754.001,T134770
K106754.002,T134770
K106754.003,T134770
K106754.004,T134770
K107084.000,T135352
K107134.000,T135406
K107291.000,T135610
K107298.000,T135617
K107303.000,T135640
K107395.000,T135780
K107398.001,T135783
K107398.002,T135783
K107399.000,T135784
K107483.001,T135939
K107483.002,T135939
K107624.000,T136130
K107740.000,T136306
K107811.001,T136411
K107811.002,T136411
K107868.000,T136478
K108052.000,T136769
K108056.000,T136780
K108263.000,T137093
K108264.000,T137094
K108266.000,T137098
K108268.000,T137100
K108269.000,T137101
K108270.000,T137103
K108272.000,T137105
K108273.000,T137106
K108513.000,T137471
K108982.000,T138146
K108983.001,T138147
K108983.002,T138147
K108983.003,T138147
K108995.001,T138159
K108995.002,T138159
K108995.003,T138159
K108995.004,T138159
K108995.005,T138159
K108999.000,T138164
K109003.000,T138168
K109045.000,T138216
K109092.001,T138274
K109092.002,T138274
K109093.003,T138277
K109093.004,T138277
K109095.001,T138281
K109095.002,T138281
K109292.001,T138546
K109292.002,T138546
K109300.000,T138554
K109521.000,T138835
K109708.003,T139076
K109756.001,T139140
K109756.002,T139140
K109756.003,T139140
K109756.004,T139140
K109819.000,T139227
K109848.000,T139270
K109981.000,T139486
K110146.000,T139692
K110147.000,T139693
K110238.001,T139809
K110238.002,T139809
K110238.003,T139809
K110238.004,T139809
K110238.005,T139809
K110238.006,T139809
K110238.007,T139809
K110265.000,T139860
K110269.000,T139864
K110277.000,T139872
K110284.001,T139879
K110284.002,T139879
K110382.000,T140006
K110388.000,T140030
K110414.001,T140064
K110414.002,T140064
K110414.003,T140064
K110414.004,T140064
K110495.000,T140201
K110735.000,T140591
K111040.001,T141022
K111040.002,T141022
K111040.003,T141022
K111112.000,T141109
K111361.000,T141578
K111410.000,T142047
K111411.000,T142050
K111475.000,T142246
K111587.000,T142557
K111682.000,T142806
K111725.000,T142894
K111746.000,T142950
K111807.000,T143098
K111808.000,T143099
K111900.000,T143297
K112026.000,T143680
K112156.000,T143983
K112181.000,T144050
K112188.000,T144057
K112190.000,T144059
K112203.000,T144076
K112239.000,T144127
K112243.000,T144132
K112277.000,T144231
K112303.001,T144260
K112418.000,T144407
K112489.000,T144509
K112507.000,T144534
K112609.001,T144686
K112620.000,T144697
K112697.001,T144797
K112765.000,T144887
K112771.000,T144899
K112795.001,T144948
K112795.002,T144948
K112795.003,T144948
K113132.000,T145427
K113134.000,T145429
K113180.001,T145497
K113187.001,T145505
K113187.002,T145505
K113187.003,T145505
K113187.004,T145505
K113231.000,T145570
K113255.000,T145600
K113361.000,T145745
K113510.001,T145965
K113510.003,T145965
K113510.004,T145965
K113518.000,T145976
K113547.001,T146028
K113547.002,T146028
K113548.000,T146029
K113552.001,T146033
K113552.002,T146033
K113570.000,T146056
K113571.000,T146057
K113578.000,T146065
K113592.001,T146080
K113592.002,T146080
K113595.000,T146083
K113598.001,T146088
K113598.002,T146088
K113598.003,T146088
K113598.004,T146088
K113606.001,T146096
K113606.002,T146096
K113606.003,T146096
K113606.004,T146096
K113606.005,T146096
K113606.006,T146096
K113606.007,T146096
K113606.008,T146096
K113610.001,T146101
K113610.002,T146101
K113620.000,T146114
K113622.000,T146116
K113624.000,T146118
K113633.002,T146132
K113639.000,T146140
K113641.001,T146144
K113641.002,T146144
K113646.000,T146158
K113660.001,T146176
K113660.002,T146176
K113867.000,T146495
K113914.000,T146564
K113915.001,T146566
K113915.002,T146566
K113928.000,T146579
K113952.001,T146609
K113952.002,T146609
K113952.003,T146609
K113952.004,T146609
K113952.005,T146609
K113952.006,T146609
K113952.007,T146609
K113952.008,T146609
K113952.009,T146609
K113952.010,T146609
K113952.011,T146609
K113952.012,T146609
K114072.000,T146779
K114081.000,T146792
K114088.001,T146800
K114088.002,T146800
K114161.000,T146901
K114216.000,T146980
K114226.001,T146992
K114226.002,T146992
K114226.003,T146992
K114226.004,T146992
K114226.005,T146992
K114226.006,T146992
K114270.000,T147056
K114523.000,T147471
K114616.000,T147623
K114699.000,T147756
K114805.000,T147993
K114806.000,T147994
K114808.000,T147996
K114854.000,T148130
K114902.000,T148329
K114954.000,T148702
K114986.003,T148771
K114986.004,T148771
K115236.000,T149808
K115467.000,T150335
K116198.000,T153168
K116451.000,T154018
K116675.000,T154622
K116684.000,T154633
K116796.000,T154940
K116972.000,T155370
K117088.000,T155650
K117112.000,T155694
K117258.000,T160256
K117344.000,T160571
K117548.001,T161035
K117548.002,T161035
K117722.000,T161987
K117731.000,T162107
K117757.000,T162248
K117762.000,T162265
K118063.000,T163851
K118131.000,T164062
K118217.000,T164379
K118235.000,T164526
K118311.000,T164873
K118343.000,T164973
K118436.000,T165279
K118458.000,T165369
K118525.000,T165586
K118563.000,T165697
K118948.000,T167314
K119146.000,T168210
K119722.000,T171024
K119752.000,T171115
K119822.000,T171480
K119911.000,T172067
K120000.000,T172488
K120041.000,T172668
K120396.000,T174434
K120907.000,T176371
K120974.000,T176551
K120989.000,T176603
K120993.000,T176613
K121056.000,T176823
K121177.000,T177247
K121415.000,T177908
K121560.000,T178476
K121574.000,T178537
K121980.000,T179880
K122077.000,T180177
K122211.000,T180656
K122295.000,T180966
K122645.000,T182073
K122875.000,T182962
K122987.000,T183337
K122997.000,T183380
K123014.000,T183443
K123147.000,T183960
K123155.000,T183980
K123412.000,T184753
K123515.000,T185045
K123618.000,T185332
K123849.000,T186035
K124613.000,T188738
K124816.000,T189602
K124952.000,T190261
K125097.000,T190913
K125194.000,T191399
K125296.000,T191935
K125362.000,T192194
K125567.000,T192985
K125710.000,T193639
K125722.000,T193733
K125842.000,T194204
K125843.000,T194206
K125859.000,T194278
K125893.000,T194401
K126050.000,T195127
K126403.000,T196353
K127086.001,T200766
K127086.002,T200766
K127176.000,T201449
K127477.001,T204341
K127477.002,T204341
K127477.003,T204341
K127859.000,T208380
K127900.000,T208679
K128027.000,T209967
K128576.000,T211464
K128984.000,T212835
K129212.000,T213594
K130449.000,T219052
K130649.000,T220390
K130910.000,T222842
K131280.000,T223323
K131582.000,T224076
K131636.000,T224202
K131816.000,T224568
K131881.000,T224688
K131924.000,T224811
K132088.000,T225503
K132097.001,T225547
K132097.002,T225547
K132097.003,T225547
K132743.000,T230316
K132927.000,W2485
K133021.000,W3591
K133067.000,W4441
K133366.000,W8124
K133430.000,W8587
K133948.000,W20110
K134151.000,W20332
K134246.000,W20438
K134413.000,W20660
K134477.000,W20737
K135535.000,W30060
K135651.000,W31094
K135767.000,W31989
K135809.000,W32176
K135834.000,W32284
